v_x,v_y,omega,delta
1.536489009857177734e+00,1.355590969324111938e-01,1.130304098129272461e+00,1.827101260423660278e-01
1.540736436843872070e+00,1.340808272361755371e-01,1.153476238250732422e+00,1.802236288785934448e-01
1.533314228057861328e+00,1.304923295974731445e-01,1.291188120841979980e+00,1.777127385139465332e-01
1.521449446678161621e+00,1.216938123106956482e-01,1.247937798500061035e+00,1.746557801961898804e-01
1.524542808532714844e+00,1.212294399738311768e-01,1.317612648010253906e+00,1.697235554456710815e-01
1.523496031761169434e+00,1.177770718932151794e-01,1.360155940055847168e+00,1.666178107261657715e-01
1.510603308677673340e+00,1.076824069023132324e-01,1.387806773185729980e+00,1.634896546602249146e-01
1.502792596817016602e+00,1.013799607753753662e-01,1.383441686630249023e+00,1.599592268466949463e-01
1.509393453598022461e+00,1.024942696094512939e-01,1.566229701042175293e+00,1.562723666429519653e-01
1.500329852104187012e+00,9.099663048982620239e-02,1.590928435325622559e+00,1.520611196756362915e-01
1.497617721557617188e+00,8.146218210458755493e-02,1.636108517646789551e+00,1.456689238548278809e-01
1.507159471511840820e+00,8.553099632263183594e-02,1.491298079490661621e+00,1.410832703113555908e-01
1.506895422935485840e+00,7.848823815584182739e-02,1.688086748123168945e+00,1.371979415416717529e-01
1.484169721603393555e+00,6.681004166603088379e-02,1.624366760253906250e+00,1.300415992736816406e-01
1.505009651184082031e+00,1.384485214948654175e-01,1.583703517913818359e+00,1.904061436653137207e-01
1.509405612945556641e+00,1.227942779660224915e-01,1.615376353263854980e+00,1.907151788473129272e-01
1.492408633232116699e+00,1.145235523581504822e-01,1.538865327835083008e+00,1.888623982667922974e-01
1.508854746818542480e+00,1.283157318830490112e-01,1.616166949272155762e+00,1.868428587913513184e-01
1.485461235046386719e+00,9.926163405179977417e-02,1.735650300979614258e+00,1.827509254217147827e-01
1.479627370834350586e+00,1.017786711454391479e-01,1.647430419921875000e+00,1.797913759946823120e-01
1.483075857162475586e+00,1.020601317286491394e-01,1.627164244651794434e+00,1.772642135620117188e-01
1.486736416816711426e+00,1.063431575894355774e-01,1.690652370452880859e+00,1.746119260787963867e-01
1.460335612297058105e+00,6.731575727462768555e-02,1.633226275444030762e+00,1.699182242155075073e-01
1.481692433357238770e+00,9.886357933282852173e-02,1.735442996025085449e+00,1.668377071619033813e-01
1.489125490188598633e+00,9.493359178304672241e-02,1.679452657699584961e+00,1.637220829725265503e-01
1.473160624504089355e+00,7.570604979991912842e-02,1.647173166275024414e+00,1.588723659515380859e-01
1.481728434562683105e+00,8.420621603727340698e-02,1.570388317108154297e+00,1.559085696935653687e-01
1.481404900550842285e+00,8.423374593257904053e-02,1.755328178405761719e+00,1.532178074121475220e-01
1.462038159370422363e+00,5.549804866313934326e-02,1.660642743110656738e+00,1.477363258600234985e-01
1.483119368553161621e+00,8.009036630392074585e-02,1.660644173622131348e+00,1.444487124681472778e-01
1.479821801185607910e+00,7.171540707349777222e-02,1.656782150268554688e+00,1.415043026208877563e-01
1.476675271987915039e+00,6.126863881945610046e-02,1.745562195777893066e+00,1.361687183380126953e-01
1.468519687652587891e+00,5.427516996860504150e-02,1.633699059486389160e+00,1.327428072690963745e-01
1.473816990852355957e+00,6.336617469787597656e-02,1.693790078163146973e+00,1.295363754034042358e-01
1.482558965682983398e+00,1.341155022382736206e-01,1.779927015304565430e+00,1.945718675851821899e-01
1.470682501792907715e+00,1.155037209391593933e-01,1.730569601058959961e+00,1.979942172765731812e-01
1.463258624076843262e+00,1.114059016108512878e-01,1.774671673774719238e+00,1.957278698682785034e-01
1.469310641288757324e+00,1.196867972612380981e-01,1.712198615074157715e+00,1.946423053741455078e-01
1.469177246093750000e+00,1.183623224496841431e-01,1.626850366592407227e+00,1.919376701116561890e-01
1.452657938003540039e+00,1.045706272125244141e-01,1.691589951515197754e+00,1.913058012723922729e-01
1.441071391105651855e+00,9.281932562589645386e-02,1.811328053474426270e+00,1.902678161859512329e-01
1.434871435165405273e+00,9.218607842922210693e-02,1.589064240455627441e+00,1.868354082107543945e-01
1.443201303482055664e+00,1.073197126388549805e-01,1.608059883117675781e+00,1.861208230257034302e-01
1.450500011444091797e+00,1.124918013811111450e-01,1.559333682060241699e+00,1.851953417062759399e-01
1.442593455314636230e+00,1.032143533229827881e-01,1.671086311340332031e+00,1.826346069574356079e-01
1.438435196876525879e+00,1.008883193135261536e-01,1.596129298210144043e+00,1.815392225980758667e-01
1.446830511093139648e+00,1.088806986808776855e-01,1.649806737899780273e+00,1.805558800697326660e-01
1.426820755004882812e+00,7.906235754489898682e-02,1.692749381065368652e+00,1.776063740253448486e-01
1.419285297393798828e+00,7.512936741113662720e-02,1.635512948036193848e+00,1.759863793849945068e-01
1.440508127212524414e+00,1.028094515204429626e-01,1.600568413734436035e+00,1.744547188282012939e-01
1.436088800430297852e+00,9.163458645343780518e-02,1.659864187240600586e+00,1.714866459369659424e-01
1.421089649200439453e+00,7.989627867937088013e-02,1.636552929878234863e+00,1.699562072753906250e-01
1.414938449859619141e+00,7.155442237854003906e-02,1.583702445030212402e+00,1.683454215526580811e-01
1.421327114105224609e+00,8.369453996419906616e-02,1.734578371047973633e+00,1.650593131780624390e-01
1.402616858482360840e+00,1.083964407444000244e-01,1.682945013046264648e+00,2.057396620512008667e-01
1.416463017463684082e+00,1.280992627143859863e-01,1.673166871070861816e+00,2.083350867033004761e-01
1.426557064056396484e+00,1.337416917085647583e-01,1.668425202369689941e+00,2.069531381130218506e-01
1.415203452110290527e+00,1.275589019060134888e-01,1.723554491996765137e+00,2.064674347639083862e-01
1.412494301795959473e+00,1.275041848421096802e-01,1.700853466987609863e+00,2.046018689870834351e-01
